amenity,lat,lon,name,tags,timestamp,address,city
drinking_water,49.0983951,-123.178366,,{},2011-07-27T01:15:54.000-07:00,"{'tourism': 'Bird Museum', 'road': 'Robertson Road', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7E 3R3', 'country': 'Canada', 'country_code': 'ca'}",Delta
drinking_water,49.1738101,-122.5822748,,{},2016-05-04T00:41:09.000-07:00,"{'road': 'Saw Mill Trail', 'suburb': 'Fort Langley', 'city_district': 'Fort Langley', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 0B7', 'country': 'Canada', 'country_code': 'ca'}",Township of Langley
drinking_water,49.2796544,-123.1235408,,{},2017-05-16T19:15:40.000-07:00,"{'amenity': 'Johnny Rockets', 'house_number': '755', 'road': 'Nelson Street', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Z', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.3087964,-123.0778555,,{},2018-08-12T02:21:02.000-07:00,"{'road': 'Spirit Trail', 'neighbourhood': 'The Shipyards Common', 'suburb': 'Keith-Lynn', 'city': 'North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7L 0B2', 'country': 'Canada', 'country_code': 'ca'}",North Vancouver
drinking_water,49.1104873,-123.1349552,,{'drinking_water': 'fountain'},2018-08-17T20:31:01.000-07:00,"{'road': 'South Dyke Trail', 'neighbourhood': 'Finn Slough', 'city_district': 'Gilmore', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7A 2L3', 'country': 'Canada', 'country_code': 'ca'}",Richmond
drinking_water,49.01486679999999,-123.0404699,,{},2016-05-08T03:59:43.000-07:00,"{'amenity': 'Centennial Beach Cafe', 'road': '12th Ave Dyke Trail', 'suburb': 'Boundary Bay', 'city_district': 'Tsawwassen', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4L 1V1', 'country': 'Canada', 'country_code': 'ca'}",Delta
drinking_water,49.1964525,-123.1386394,,{},2020-01-13T01:51:46.000-08:00,"{'shop': 'McArthurGlen Designer Outlet Vancouver Airport', 'house_number': '1000-7899', 'road': 'Templeton Station Road', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 0B7', 'country': 'Canada', 'country_code': 'ca'}",Richmond
drinking_water,49.2671595,-123.1376969,,{},2014-02-10T17:52:55.000-08:00,"{'highway': 'West 5th Avenue (WB) at Granville Street', 'road': 'West 5th Avenue', 'neighbourhood': 'South Granville', 'city_district': 'Fairview', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6H', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2610439,-123.100812,,{},2018-07-02T19:59:08.000-07:00,"{'house_number': '2702', 'road': 'Main Street', 'neighbourhood': 'Mount Pleasant', 'city_district': 'Mount Pleasant', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5T 3E8', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2892683,-123.1385531,,{},2018-07-02T03:16:10.000-07:00,"{'house_number': '1771', 'road': 'Nelson Street', 'neighbourhood': 'West End', 'city_district': 'West End', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6G', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
